Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

0,80	0,13	0,80
0,81	0,13	0,81
0,83	0,13	0,83
0,84	0,13	0,84
0,86	0,13	0,86
0,87	0,13	0,87
0,89	0,13	0,89
0,90	0,14	0,90
0,92	0,14	0,92
0,93	0,14	0,93
0,95	0,14	0,95
0,96	0,14	0,96
0,98	0,14	0,98
0,99	0,14	0,99
1,01	0,15	1,01
1,02	0,15	1,02
1,04	0,15	1,04
1,05	0,15	1,05
1,07	0,15	1,07
1,08	0,15	1,08
1,10	0,15	1,10
1,11	0,15	1,11
1,13	0,16	1,13
1,14	0,16	1,14
1,16	0,16	1,16
1,17	0,16	1,17
1,19	0,16	1,19
1,20	0,16	1,20
1,22	0,16	1,22
1,23	0,17	1,23
1,25	0,17	1,25
1,26	0,17	1,26
1,28	0,17	1,28
1,29	0,18	1,29
1,31	0,17	1,31
1,32	0,18	1,32
1,34	0,18	1,34
1,35	0,18	1,35
1,37	0,18	1,37
1,38	0,18	1,38
1,40	0,18	1,40
1,41	0,18	1,41
1,43	0,19	1,43
1,44	0,19	1,44
1,46	0,19	1,46
1,47	0,19	1,47
1,49	0,19	1,49
1,50	0,19	1,50
1,52	0,19	1,52
1,53	0,20	1,53
1,55	0,19	1,55
1,56	0,20	1,56
1,58	0,20	1,58
1,59	0,20	1,59
1,61	0,20	1,61
1,62	0,20	1,62
1,64	0,20	1,64
1,65	0,20	1,65
1,67	0,20	1,67
1,68	0,20	1,68
1,70	0,20	1,70
1,71	0,20	1,71
1,73	0,20	1,73
1,74	0,20	1,74
1,76	0,21	1,76
1,77	0,21	1,77
1,79	0,21	1,79
1,80	0,21	1,80
1,82	0,21	1,82
1,84	0,21	1,84
1,85	0,21	1,85
1,87	0,21	1,87
1,88	0,21	1,88
1,90	0,21	1,90
1,91	0,21	1,91
1,93	0,21	1,93
1,94	0,21	1,94
1,96	0,21	1,96
1,97	0,21	1,97
1,99	0,21	1,99
2,00	0,21	2,00
2,02	0,22	2,02
2,03	0,22	2,03
2,05	0,22	2,05
2,06	0,22	2,06
2,08	0,22	2,08
2,09	0,22	2,09
2,11	0,22	2,11
2,12	0,22	2,12
2,14	0,22	2,14
2,15	0,22	2,15
2,17	0,22	2,17
2,18	0,22	2,18
2,20	0,22	2,20
2,21	0,22	2,21
2,23	0,22	2,23
2,24	0,22	2,24
2,26	0,22	2,26
2,27	0,22	2,27
2,29	0,23	2,29
2,30	0,23	2,30
2,32	0,23	2,32
2,33	0,23	2,33
2,35	0,23	2,35
2,36	0,23	2,36
